,Folio,Ini_Date,End_Date,Op_Type,Comment,Comment Val,Units,Spot,TP,SL,Close_P,Close_Reason,Status,Margin
1355,Folio,2017-06-02 13:40,2017-06-02 13:45:00+00:00,Buy,BBL,0,1000,18.57065,18.58265,18.56465,18.58846,TP,Closed,0.01781000000000077
1354,Folio,2017-06-02 13:50,2017-06-02 14:00:00+00:00,Buy,BBL,0,1000,18.57466,18.58866,18.56766,18.56733,SL,Closed,-0.007330000000003167
1353,Folio,2017-06-02 14:00,2017-06-02 14:25:00+00:00,Buy,STO,8,1000,18.56733,18.58033,18.56083,18.58108,TP,Closed,0.013750000000001705
1352,Folio,2017-06-02 14:05,2017-06-02 14:50:00+00:00,Buy,BBL,0,1000,18.5724,18.5854,18.5659,18.59266,TP,Closed,0.02026000000000039
1351,Folio,2017-06-02 17:15,2017-06-02 17:30:00+00:00,Sell,STO,88,1000,18.68192,18.667920000000002,18.688920000000003,18.66718,TP,Closed,0.014740000000003306
1350,Folio,2017-06-02 17:20,2017-06-02 17:30:00+00:00,Sell,STO,85,1000,18.68482,18.672819999999998,18.69082,18.66718,TP,Closed,0.0176400000000001
1349,Folio,2017-06-02 17:25,2017-06-02 17:30:00+00:00,Sell,STO,86,1000,18.68486,18.67186,18.69136,18.66718,TP,Closed,0.01768000000000214
1348,Folio,2017-06-02 17:45,2017-06-02 18:25:00+00:00,Sell,STO,90,1000,18.68568,18.67268,18.69218,18.7023,SL,Closed,-0.016619999999999635
1347,Folio,2017-06-02 17:50,2017-06-02 18:10:00+00:00,Sell,STO,87,1000,18.68198,18.668979999999998,18.68848,18.69167,SL,Closed,-0.009689999999999088
1346,Folio,2017-06-02 17:55,2017-06-02 18:05:00+00:00,Sell,STO,87,1000,18.68054,18.66654,18.687540000000002,18.6883,SL,Closed,-0.007760000000001099
1345,Folio,2017-06-02 18:00,2017-06-02 18:05:00+00:00,Sell,STO,87,1000,18.6786,18.665599999999998,18.6851,18.6883,SL,Closed,-0.009700000000002262
1344,Folio,2017-06-02 18:05,2017-06-02 18:25:00+00:00,Sell,STO,90,1000,18.6883,18.6763,18.694300000000002,18.7023,SL,Closed,-0.013999999999999346
